SID,YEAR,MONTH,DAY,HOUR,LAT,LON,DELTA_LAT_6h,DELTA_LON_6h,TARGET_WIND_6h,DELTA_LAT_12h,DELTA_LON_12h,TARGET_WIND_12h,DELTA_LAT_24h,DELTA_LON_24h,TARGET_WIND_24h
2015127N04158,2015,5,12,0,10.1,158.4,0.0,-0.4000000000000057,5.0,-0.1999999999999993,-0.9000000000000057,5.0,0.0,-2.200000000000017,15.0
2015127N04158,2015,5,12,6,10.1,158.0,-0.1999999999999993,-0.5,0.0,-0.1999999999999993,-1.0999999999999943,0.0,0.20000000000000107,-2.6999999999999886,15.0
2015127N04158,2015,5,12,12,9.9,157.5,0.0,-0.5999999999999943,0.0,0.1999999999999993,-1.3000000000000114,10.0,0.6999999999999993,-3.3000000000000114,15.0
2015127N04158,2015,5,12,18,9.9,156.9,0.1999999999999993,-0.700000000000017,10.0,0.40000000000000036,-1.5999999999999943,15.0,1.0,-3.5,15.0
2015127N04158,2015,5,13,0,10.1,156.2,0.20000000000000107,-0.8999999999999773,5.0,0.5,-2.0,5.0,1.4000000000000004,-4.0,5.0
2015127N04158,2015,5,13,6,10.3,155.3,0.29999999999999893,-1.1000000000000227,0.0,0.5999999999999996,-1.9000000000000057,0.0,1.6999999999999993,-4.200000000000017,0.0
2015127N04158,2015,5,13,12,10.6,154.2,0.3000000000000007,-0.799999999999983,0.0,0.9000000000000004,-2.0,0.0,1.8000000000000007,-4.5,0.0
2015127N04158,2015,5,13,18,10.9,153.4,0.5999999999999996,-1.200000000000017,0.0,1.0999999999999996,-2.3000000000000114,0.0,1.799999999999999,-5.099999999999994,0.0
2015127N04158,2015,5,14,0,11.5,152.2,0.5,-1.0999999999999943,0.0,0.9000000000000004,-2.5,0.0,1.8000000000000007,-5.299999999999983,10.0
2015127N04158,2015,5,14,6,12.0,151.1,0.40000000000000036,-1.4000000000000057,0.0,0.6999999999999993,-2.799999999999983,0.0,1.5999999999999996,-5.5,10.0
2015127N04158,2015,5,14,12,12.4,149.7,0.29999999999999893,-1.3999999999999773,0.0,0.9000000000000004,-2.799999999999983,10.0,1.6999999999999993,-5.099999999999994,10.0
2015127N04158,2015,5,14,18,12.7,148.3,0.6000000000000014,-1.4000000000000057,10.0,0.9000000000000004,-2.700000000000017,10.0,2.1000000000000014,-4.800000000000011,25.0
2015127N04158,2015,5,15,0,13.3,146.9,0.29999999999999893,-1.3000000000000114,0.0,0.7999999999999989,-2.3000000000000114,0.0,1.8999999999999986,-4.5,15.0
2015127N04158,2015,5,15,6,13.6,145.6,0.5,-1.0,0.0,1.200000000000001,-2.0999999999999943,15.0,2.200000000000001,-4.099999999999994,20.0
2015127N04158,2015,5,15,12,14.1,144.6,0.7000000000000011,-1.0999999999999943,15.0,1.0999999999999996,-2.1999999999999886,15.0,2.4000000000000004,-4.0,20.0
2015127N04158,2015,5,15,18,14.8,143.5,0.3999999999999986,-1.0999999999999943,0.0,1.0,-2.0,5.0,2.3999999999999986,-3.6999999999999886,5.0
2015127N04158,2015,5,16,0,15.2,142.4,0.6000000000000014,-0.9000000000000057,5.0,1.3000000000000007,-1.8000000000000114,5.0,2.6000000000000014,-3.3000000000000114,0.0
2015127N04158,2015,5,16,6,15.8,141.5,0.6999999999999993,-0.9000000000000057,0.0,1.3999999999999986,-1.6999999999999886,0.0,2.8000000000000007,-2.8000000000000114,-5.0
2015127N04158,2015,5,16,12,16.5,140.6,0.6999999999999993,-0.799999999999983,0.0,1.3000000000000007,-1.5,-5.0,2.8000000000000007,-2.0999999999999943,-5.0
2015127N04158,2015,5,16,18,17.2,139.8,0.6000000000000014,-0.700000000000017,-5.0,1.4000000000000021,-1.1000000000000227,-5.0,2.900000000000002,-1.4000000000000057,-5.0
2015127N04158,2015,5,17,0,17.8,139.1,0.8000000000000007,-0.4000000000000057,0.0,1.5,-0.5999999999999943,0.0,3.0,-0.6999999999999886,-5.0
2015127N04158,2015,5,17,6,18.6,138.7,0.6999999999999993,-0.19999999999998863,0.0,1.5,-0.29999999999998295,0.0,2.8999999999999986,-0.29999999999998295,-15.0
